Sim_ID,daOverRH1,daOverRH2,P2/P1,P3/P2,predprob,predstable,Norbits_instability,Stable
1040,7.26411663619,5.93979351757,1.24369979845,1.19796042961,0.0255073867738,False,41070.5665424,False
1988,5.48419354986,7.47324938025,1.18235749156,1.25097489622,0.0210895463824,False,213803.205167,False
2294,8.61517666198,6.57880524287,1.2909476145,1.21995924064,0.221642166376,False,1697475.98511,False
4114,7.8562692263,5.23975316289,1.26433562013,1.17401428661,0.0668698623776,False,898932.352577,False
1961,5.24622637587,7.94277862723,1.17423497532,1.26735983647,0.0288134478033,False,5127495.31572,False
3888,8.5026133349,5.00748206808,1.28698878619,1.16610471062,0.087945625186,False,6226113.40381,False
4619,7.46622638047,5.7265776855,1.25073035764,1.19064993645,0.0154553735629,False,30229.5378548,False
595,6.42254583086,7.57154648039,1.21456748778,1.25439923926,0.15769508481,False,400624.10757,False
1629,7.42418986704,5.62646516293,1.24926699393,1.18722254575,0.0149945504963,False,42725.0607332,False
1965,6.31805959285,6.39177846127,1.21096661947,1.21350679393,0.0146081522107,False,929503.810779,False
3663,7.53380766324,5.65162830986,1.25308417562,1.18808370587,0.0269605722278,False,115135.707429,False
1794,5.89306986465,8.14009056258,1.19635714796,1.27426651819,0.0227902643383,False,695160.768062,False
1290,8.98107562342,5.99827436898,1.30384416735,1.19996815741,0.0829731747508,False,3079588.6597,False
194,5.26885645331,5.60980750182,1.17500660281,1.18665258397,0.00613083038479,False,73392.7382027,False
2241,7.1248308071,7.35795711984,1.23886231742,1.24696247663,0.0845548585057,False,1312547.73028,False
462,5.29744720374,8.25459337139,1.17598171546,1.27828029348,0.0390362888575,False,584292.128218,False
2542,5.27142434218,5.53719072085,1.17509417188,1.18416898005,0.00924874655902,False,5991.93752671,False
